2024-03-15 08:12:04 | 192.168.1.45 | GET /login | 200 | Mozilla/5.0
2024-03-15 08:13:17 | 185.220.101.47 | POST /login | 401 | curl/7.68.0
2024-03-15 08:13:18 | 185.220.101.47 | POST /login | 401 | curl/7.68.0
2024-03-15 08:13:19 | 185.220.101.47 | POST /login | 401 | curl/7.68.0
2024-03-15 08:13:20 | 185.220.101.47 | POST /login | 401 | curl/7.68.0
2024-03-15 08:13:21 | 185.220.101.47 | POST /login | 401 | curl/7.68.0
2024-03-15 08:14:02 | 10.0.0.14 | GET /dashboard | 200 | Mozilla/5.0
2024-03-15 08:15:30 | 45.33.32.156 | GET /admin | 403 | python-requests/2.28.0
2024-03-15 08:16:11 | 10.0.0.22 | GET /reports | 200 | Mozilla/5.0
2024-03-15 08:17:55 | 45.33.32.156 | GET /admin | 403 | python-requests/2.28.0
2024-03-15 08:18:00 | 192.168.1.45 | POST /logout | 200 | Mozilla/5.0
2024-03-15 08:20:10 | 198.51.100.9 | GET /../etc/passwd | 400 | curl/7.68.0
2024-03-15 08:21:33 | 10.0.0.14 | GET /api/users | 200 | Mozilla/5.0
2024-03-15 08:22:45 | 185.220.101.47 | POST /login | 200 | curl/7.68.0
